iter	Passed	Remaining
400	17648	4357
401	17707	4316
402	17755	4273
403	17804	4230
404	17851	4187
405	17905	4145
406	17964	4104
407	18018	4063
408	18073	4021
409	18137	3981
410	18184	3937
411	18240	3896
412	18287	3852
413	18335	3808
414	18396	3767
415	18444	3724
416	18478	3677
417	18521	3633
418	18581	3592
419	18624	3547
420	18656	3500
421	18684	3453
422	18731	3409
423	18760	3362
424	18792	3316
425	18837	3272
426	18870	3226
427	18919	3182
428	18989	3142
429	19047	3100
430	19078	3054
431	19137	3012
432	19184	2968
433	19226	2923
434	19274	2880
435	19324	2836
436	19375	2793
437	19426	2749
438	19479	2706
439	19530	2663
440	19567	2617
441	19613	2573
442	19645	2527
443	19693	2483
444	19740	2439
445	19777	2394
446	19819	2349
447	19863	2305
448	19917	2262
449	19966	2218
450	20005	2173
451	20042	2128
452	20086	2084
453	20115	2038
454	20148	1992
455	20179	1947
456	20207	1901
457	20248	1856
458	20305	1813
459	20347	1769
460	20383	1724
461	20428	1680
462	20468	1635
463	20511	1591
464	20549	1546
465	20583	1501
466	20623	1457
467	20653	1412
468	20698	1368
469	20739	1323
470	20793	1280
471	20835	1235
472	20877	1191
473	20924	1147
474	20976	1104
475	21012	1059
476	21040	1014
477	21092	970
478	21157	927
479	21224	884
480	21277	840
481	21349	797
482	21407	753
483	21449	709
484	21477	664
485	21506	619
486	21540	575
487	21569	530
488	21604	485
489	21646	441
490	21685	397
491	21725	353
492	21784	309
493	21824	265
494	21861	220
495	21901	176
496	21945	132
497	21982	88
498	22010	44
499	22047	0
